,지점명,일시,일강수량_sum_mm,일강수량_mean_mm,일강수량_std_mm,일강수량_max_mm,평균기온_mean_c,평균풍속_mean_ms,최저기온_min_c,최고기온_max_c,최대순간풍속_max_ms,최대순간풍속향_max_deg,집중호우일수
326,한강,2016,429.5,4.668478260869565,16.02029570831761,102.5,26.396739130434778,2.119565217391304,16.8,36.3,12.2,357.2,2.0
327,중구,2007,394.0,4.282608695652174,9.256510731486319,53.0,23.180898876404495,1.722727272727272,13.4,33.2,19.0,333.3,0.0
328,중구,2008,745.0,8.097826086956522,19.855416833694314,105.0,22.869565217391305,2.1228260869565214,11.8,34.9,14.1,322.8,3.0
329,중구,2009,849.0,9.228260869565217,27.184293000796934,177.5,22.760439560439558,1.4582417582417582,13.4,33.6,12.4,344.0,3.0
330,중구,2010,773.5,8.407608695652174,19.876255831196588,90.5,24.422826086956523,1.3260869565217397,12.5,34.2,12.1,352.9,3.0
331,중구,2011,1379.0,14.98913043478261,35.90899503620607,265.5,23.2,1.5054347826086953,13.5,34.3,17.7,339.8,5.0
332,중구,2012,960.5,10.440217391304348,28.952200317919274,172.5,24.37391304347826,1.538202247191011,15.2,36.1,17.3,340.2,3.0
333,중구,2013,80.0,13.333333333333334,24.735938766633996,63.0,24.803260869565218,0.7913043478260869,15.9,35.1,15.1,341.7,0.0
334,중구,2014,0.0,,,,23.404347826086955,1.523913043478261,15.6,34.0,14.2,332.2,0.0
335,중구,2015,417.0,4.532608695652174,11.710989566915643,73.0,23.95934065934066,1.4923076923076928,14.7,35.1,12.6,355.2,0.0
336,중구,2016,336.5,3.657608695652174,13.11926051333027,104.5,24.873913043478268,1.3782608695652174,15.0,36.3,12.3,346.9,1.0
337,북한산,2007,455.0,4.945652173913044,9.684148291998827,42.5,21.64137931034483,2.0136363636363637,12.0,29.9,19.7,359.7,0.0
338,북한산,2008,661.5,7.269230769230769,18.3118522171825,116.0,21.411627906976744,1.9781609195402299,10.5,32.3,22.0,359.8,2.0
339,북한산,2009,516.5,5.614130434782608,16.40173926398962,119.0,21.248837209302327,1.694186046511628,9.5,31.2,18.3,356.3,1.0
340,북한산,2010,857.0,9.315217391304348,22.20319715015127,130.5,23.26578947368421,1.8144736842105265,11.4,31.4,13.9,359.6,2.0
341,성동,2007,407.0,4.573033707865169,11.84477026951081,86.5,25.31294117647057,2.445945945945945,15.7,34.6,19.0,355.0,1.0
342,성동,2008,840.0,9.130434782608695,22.476345265905298,117.0,24.280000000000005,3.335869565217392,13.5,38.0,25.1,356.1,3.0
343,성동,2009,906.5,9.853260869565217,29.99922508554841,173.0,24.561538461538454,2.535164835164835,15.3,34.7,32.3,314.0,5.0
344,성동,2010,723.0,7.858695652173913,18.465638728855176,94.0,25.953260869565216,1.8891304347826086,15.0,34.2,16.4,330.7,1.0
345,성동,2011,1567.5,17.03804347826087,40.89642732022601,289.5,24.316304347826087,2.0760869565217392,14.9,34.2,19.7,354.4,4.0
346,성동,2012,1114.5,12.11413043478261,31.68856895683758,180.0,25.66304347826087,2.279347826086957,16.8,36.2,24.2,354.4,4.0
347,성동,2013,862.0,9.369565217391305,24.139119402396858,175.0,25.869565217391294,2.154347826086957,16.0,33.6,21.1,351.6,2.0
348,성동,2014,580.0,6.304347826086956,14.841461918479851,73.0,24.754347826086953,2.1260869565217386,17.9,34.2,24.3,351.6,0.0
349,성동,2015,380.5,4.135869565217392,10.511925007695554,60.0,25.321739130434775,2.102173913043479,16.7,35.2,14.6,357.2,0.0
350,성동,2016,453.5,4.929347826086956,17.13129350494039,112.0,26.303260869565207,1.940217391304347,16.8,36.8,13.0,354.4,2.0
351,북악산,2011,1611.0,18.306818181818183,42.51419180346951,298.0,21.924050632911385,2.2064102564102566,12.6,31.9,19.3,354.4,4.0
352,북악산,2012,1123.0,12.206521739130435,29.39519959444611,147.5,22.973913043478255,2.463043478260869,13.8,34.4,29.3,357.2,6.0
353,북악산,2013,962.5,10.46195652173913,25.766623109356555,176.0,23.24239130434782,2.0543478260869565,14.7,31.4,19.0,354.4,3.0
354,북악산,2014,525.5,5.711956521739131,14.064848572264335,77.5,21.953260869565216,2.0032608695652168,14.9,32.4,19.4,357.2,0.0
355,북악산,2015,464.5,5.048913043478261,12.140898952588758,77.5,22.45326086956522,2.1641304347826087,13.5,33.1,18.1,357.2,0.0
356,북악산,2016,590.0,6.413043478260869,20.22763433116813,122.0,23.369565217391308,1.9989130434782603,14.4,33.3,14.5,354.4,2.0
357,구로,2007,498.0,5.413043478260869,13.42410671832216,87.0,24.746739130434772,2.246739130434783,15.6,35.0,17.0,351.5,1.0
358,구로,2008,841.0,9.141304347826088,21.541593562803936,120.5,24.29340659340659,2.1681318681318693,13.3,36.9,16.3,335.3,3.0
